Time recorded,Class Name,Book name,price,Time Sold,,,,,,,,,,,,,,
5/7/2017 13:27,AST 0009,the essential cosmic perspective,25$,9/6/2017,,,,,,,,,,,,,,
5/5/2017 12:04,EC 0013,Introductory Statistics -- Ross Edition,$40 ,9/6/2017,,,,,,,,,,,,,,
9/5/2017,MATH 0042,Multivariable Calculus,40,9/6/2017,,,,,,,,,,,,,,
5/10/2017 13:12,EC 0011,Microeconomics,$5 ,9/6/2017,,,,,,,,,,,,,,
9/4/2017,MISC 0000,Lives in Limbo,4,9/6/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0021,Intrigas,25,9/6/2017,,,,,,,,,,,,,,
9/6/2017,PSY 0009,iClicker,10,9/6/2017,,,,,,,,,,,,,,
9/6/2017,JPN 0001,Genki I,25,9/6/2017,,,,,,,,,,,,,,
9/6/2017,EC 0003,FINANCIAL ACCOUNTING,25,9/6/2017,,,,,,,,,,,,,,
9/6/2017,SPN 0022,Vistas y Voces Latinas,25,9/7/2017,,,,,,,,,,,,,,
9/6/2017,SPN 0030,Nada,10,9/9/2017,,,,,,,,,,,,,,
9/5/2017,ENG 0001,Rules for Writers,10,9/9/2017,,,,,,,,,,,,,,
5/2/2017 14:36,FAH 0001,"ART HISTORY: Pearson (4 Books: Ancient Art, Medieval Art, A View of The World: Part 1, 14th to 17th Century Art)",$165 ,9/9/2017,,,,,,,,,,,,,,
5/11/2017 12:04,EC 0005,Economics,$25 ,9/9/2017,,,,,,,,,,,,,,
5/11/2017 12:57,PJS 0001,Half the Sky,5,9/10/2017,,,,,,,,,,,,,,
5/28/2017 19:39,Misc 0000,The Feminine Mystique,$3 ,9/10/2017,,,,,,,,,,,,,,
5/28/2017 19:50,Misc 0000,"The Yellow Wall-Paper, Herland, and Selected Writings",$3 ,9/10/2017,,,,,,,,,,,,,,
5/10/2017 14:07,PSY 0009,The Mind's Eye ,$10 ,9/10/2017,,,,,,,,,,,,,,
9/6/2017,MATH 0032/34,Student's Solutions Manual Single Variable: Calculus Early Transcendentals,12,9/11/2017,,,,,,,,,,,,,,
9/7/2017,CD 0001,CHILD DEVELOPMENT,50,9/11/2017,,,,,,,,,,,,,,
5/8/2017 14:30,PSY 0001 ,Psychological Science,$50 ,Kevins book**,,,,,,,,,,,,,,
5/9/2017 14:11,PHIL 0003,Patterns In the Mind,5,,,,,,,,,,,,,,,
5/3/2017 14:21,ELS 0103 (Entrepreneurial Finance),Pearson Custom Business Resources,$20 ,,,,,,,,,,,,,,,
5/11/2017 13:08,PHIL 0001,Introduction to Philosophy,10,,,,,,,,,,,,,,,
5/5/2017 19:14,PS 0041 ,Texts on Socrates,$5 ,,,,,,,,,,,,,,,
5/8/2017 14:32,SPN 0021,Intrigas,$40 ,,,,,,,,,,,,,,,
5/6/2017 12:16,PHIL 0001,"Dialogue on Good, Evil, and the Existence of God",3$,,,,,,,,,,,,,,,
5/10/2017 13:56,PHIL 0001,Introduction to Philosophy,7$,,,,,,,,,,,,,,,
5/10/2017 13:54,PHIL 0001,"Introduction to Philosophy by John Perry, etc",7,,,,,,,,,,,,,,,
5/10/2017 13:39,PS 0061,Force and Statecraft,30,,,,,,,,,,,,,,,
5/10/2017 14:19,PSY 0064/PHIL 15/Ling 15,Patterns in the Mind,$8 ,,,,,,,,,,,,,,,
5/10/2017 14:13,PHIL 0197,How to Do Things With Pornography ,$15 ,,,,,,,,,,,,,,,
5/5/2017 12:08,SOC 0135,More than Medicine,$10 ,,,,,,,,,,,,,,,
5/12/2017 13:02,PSY 0012,Abnormal Psychology,$55 ,,,,,,,,,,,,,,,
5/8/2017 14:02,PS 0041,Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,$8 ,,,,,,,,,,,,,,,
4/6/2017 18:25,SPN 0021/22,The Ultimate Spanish review and practice,20,,,,,,,,,,,,,,,
5/8/2017 12:19,FAH 0001,Art History (All four books),$60.00 ,,,,,,,,,,,,,,,
5/4/2017 14:31,SPN 0021/022,The Ultimate Spanish Review and Practice,$5 ,,,,,,,,,,,,,,,
5/9/2017 12:45,SPN 0004,No Pasó Nada,$13 ,,,,,,,,,,,,,,,
5/9/2017 12:48,SPN 0003/4,Atando Cabos,$20 ,,,,,,,,,,,,,,,
5/11/2017 13:27,PHIL 0033,The Logic Book,$40 ,,,,,,,,,,,,,,,
5/9/2017 13:31,FAH 0025/REL25,Early Medieval Architecture,$10 ,,,,,,,,,,,,,,,
5/9/2017 13:31,FAH 0025/REL25,Medieval Architecture,$10 ,,,,,,,,,,,,,,,
5/3/2017 14:40,SPN 0022XB,La Actualidad en los medios (contains la multitud errante),$15 ,,,,,,,,,,,,,,,
5/9/2017 23:35,SPN 0004,Atando Cabos?,$15 ,,,,,,,,,,,,,,,
5/11/2017 14:49,SPN 0003,Atando Cabos,$5 ,,,,,,,,,,,,,,,
5/11/2017 14:50,SPN 0003,Atandos Cabos,5,,,,,,,,,,,,,,,
5/6/2017 13:56,SOC 0020,Invisible families,$10 ,,,,,,,,,,,,,,,
5/8/2017 12:23,SPN 0022,Ultimate Spanish Review and Practice,15,,,,,,,,,,,,,,,
5/8/2017 12:27,PSY 0012,Abnormal Psychology,60,,,,,,,,,,,,,,,
5/8/2017 12:20,SPN 0003,El Ultimo Sol,$5 ,,,,,,,,,,,,,,,
5/6/2017 12:20,PHIL 0001,Plato: Five dialogues,5,,,,,,,,,,,,,,,
5/7/2017 13:54,FAH 0001,Art History (4 books),$70 ,,,,,,,,,,,,,,,
5/8/2017 14:09,FAH 0001,Art History (4 Books),55,,,,,,,,,,,,,,,
5/12/2017 12:05,SPN 0022,Vistas y Voces Latinas,20,,,,,,,,,,,,,,,
5/10/2017 20:13,SPN 0021,Intrigas,20,,,,,,,,,,,,,,,
5/10/2017 20:12,SPN 0021,Composition and Conversation I,$15 ,,,,,,,,,,,,,,,
5/10/2017 20:22,SPN,Compact Oxford Spanish Dictionary,$10 ,,,,,,,,,,,,,,,
5/10/2017 12:44,SPN 0003/4,Atando Cabos,$10 ,,,,,,,,,,,,,,,
5/9/2017 12:28,PS 0015,Building a New Boston,$15 ,,,,,,,,,,,,,,,
4/7/2017 17:41,SPN 0022,Spanish 22: Composition and Conversation II,$10 ,,,,,,,,,,,,,,,
5/5/2017 18:17,PHIL 0033,The Logic Book - Merrie Bergmann/James Moor/Jack Nelson,$40 ,,,,,,,,,,,,,,,
4/7/2017 17:39,SPN 0022,La multitud errante,$5 ,,,,,,,,,,,,,,,
5/4/2017 12:56,FAH 0001,Art History,70,,,,,,,,,,,,,,,
4/7/2017 18:01,SPN 0022,Composition and Conversation II,10,,,,,,,,,,,,,,,
5/1/2017 12:07,PSY 0013,Social Psychology,15,,,,,,,,,,,,,,,
5/6/2017 13:34,CHEM 0001/02,Chemistry: The central science (paperback version),$35 ,,,,,,,,,,,,,,,
5/9/2017 12:32,PJS 0001,Approaches to Peace ,10,,,,,,,,,,,,,,,
5/6/2017 12:55,CD 0001,Child Development,$55 ,,,,,,,,,,,,,,,
5/3/2017 14:22,CD 0001,Child Development (Berk),$40 ,,,,,,,,,,,,,,,
5/9/2017 12:18,CD 0062,The Anthropology of Childhood,$30 ,,,,,,,,,,,,,,,
5/9/2017 12:52,CD 0062,The Anthropology of Childhood ,$40 ,,,,,,,,,,,,,,,
5/9/2017 13:22,MATH 0019,Mathematics of Social Choice,$20 ,,,,,,,,,,,,,,,
5/8/2017 14:10,MATH 0032,Calculus Early Transcendentals,25,,,,,,,,,,,,,,,
5/10/2017 13:58,MATH 0032/34,Calculus: Early Transcendentals,$25 ,,,,,,,,,,,,,,,
4/7/2017 15:26,MATH 0032,Student's solutions manual single variable,$20 ,,,,,,,,,,,,,,,
5/9/2017 13:28,MATH 0032,Single Variable Calculus: Early Transcendentals (Briggs & Cochran),$15 ,,,,,,,,,,,,,,,
5/8/2017 14:31,MATH 0032/34,Calculus Early Transcendentals ,$25 ,,,,,,,,,,,,,,,
5/6/2017 14:29,MATH 0042,Calculus: Early Transcendentals,$30 ,,,,,,,,,,,,,,,
4/7/2017 17:30,MATH 0042,Multivariable Calculus- Briggs Cochran Gillet,$50 ,,,,,,,,,,,,,,,
5/10/2017 13:08,EC 0005,Economics ,$15 ,,,,,,,,,,,,,,,
5/10/2017 14:41,EC 0005,ECONOMICS ,$20 ,,,,,,,,,,,,,,,
5/5/2017 14:38,EC 0005,Economics - Hubbard O'Brien,$40 ,,,,,,,,,,,,,,,
5/9/2017 12:24,EC 0005,Economics Hubbard O'Brien,$30 ,,,,,,,,,,,,,,,
5/10/2017 12:43,EC 0060,International Economics,$20 ,,,,,,,,,,,,,,,
5/12/2017 15:08,ENG 0002,Turn of the screw,$10 ,,,,,,,,,,,,,,,
5/10/2017 12:56,ENG 0001,The Writer's Presence,$50 ,,,,,,,,,,,,,,,
5/5/2017 13:17,ENG 0002,The Woman Warrior,$2 ,,,,,,,,,,,,,,,
5/5/2017 13:18,ENG 0002,The Turn of the Screw,$5 ,,,,,,,,,,,,,,,
5/8/2017 12:20,ENG 0001,"They say, I say",$10.00 ,,,,,,,,,,,,,,,
5/10/2017 14:25,HIST 0053,A History of the Modern World,10,,,,,,,,,,,,,,,
5/10/2017 14:23,HIST 0053,Aspects of Western Civilization,10,,,,,,,,,,,,,,,
5/10/2017 14:00,HIST 0053,Medieval Europe: A Short History,$20 ,,,,,,,,,,,,,,,
5/10/2017 14:25,HIST 0053,Medieval Europe - a short history,$10 ,,,,,,,,,,,,,,,
4/15/2017 20:14,HIST 0053,Aspects of Western Civilization: Volume 1,9$,,,,,,,,,,,,,,,
5/9/2017 13:48,HIST 0058 / CLS 0039,Byzantium: The Surprising Life of a Medieval Empire,$10 ,,,,,,,,,,,,,,,
5/9/2017 13:51,HIST 0058 / CLS 0039,"Byzantium: Church, Society, and Civilization Seen through Contemporary Eyes",$30 ,,,,,,,,,,,,,,,
5/9/2017 13:50,HIST 0058 / CLS 0039,A History of Byzantium,$20 ,,,,,,,,,,,,,,,
5/8/2017 14:04,CHNS 0002 /0003,NPCR Book 2,$10 ,,,,,,,,,,,,,,,
5/8/2017 14:05,CHNS 0003/ 0004,NPCR Book 3,$10 ,,,,,,,,,,,,,,,
5/8/2017 12:38,CHNS 0002,New Practical Chinese Reader,$20 ,,,,,,,,,,,,,,,
5/8/2017 12:39,CHNS 0003/4,New Practical Chinese Reader,$20 ,,,,,,,,,,,,,,,
5/9/2017 10:23,JPN 0001/0002,An Integrated Course in Elementary Japanese Genki,$20 ,,,,,,,,,,,,,,,
5/9/2017 14:06,BIO 0013/14,Biological Science,$50 ,,,,,,,,,,,,,,,
5/6/2017 12:50,BIO 0041,Genetics Study Guide/Solutions Manual,$20 ,,,,,,,,,,,,,,,
,BIO 13,Biological sciences,$15 ,,,,,,,,,,,,,,,
5/4/2017 13:22,BIO 0013/14,Biological Science,$90 ,,,,,,,,,,,,,,,
5/9/2017 14:15,BIO 0061,The Youth Pill,$8 ,,,,,,,,,,,,,,,
5/9/2017 14:15,BIO 0061,Biology of Aging,$30 ,,,,,,,,,,,,,,,
5/6/2017 13:36,COMP 0011,Problem Solving with C ++,$28 ,,,,,,,,,,,,,,,
4/6/2017 18:42,COMP 0011,Problem Solving with C++,30,,,,,,,,,,,,,,,
5/9/2017 19:56,COMP 0061/MATH 61,A Discrete Transition to Advanced Mathematics,$30 ,,,,,,,,,,,,,,,
5/10/2017 14:40,SPN 0022,Coursepack  / Composition and Conversation 2,2,,,,,,,,,,,,,,,
5/10/2017 20:11,SPN 0021/22,The Ultimate Spanish Review and Practice,10,,,,,,,,,,,,,,,
4/7/2017 17:36,SPN 0022,Vistas y Voces Latinas,$15 ,,,,,,,,,,,,,,,
5/6/2017 22:35,SPN 0021/22,The Ultimate Spanish Review and Practice,14,,,,,,,,,,,,,,,
5/14/2017 19:46,FR 0003/0004,Bravo!,50,,,,,,,,,,,,,,,
5/10/2017 11:56,FR 0022,La grammair a l'oeuvre,$25 ,,,,,,,,,,,,,,,
5/10/2017 14:22,FR 0001/2,Promenades,$50 ,,,,,,,,,,,,,,,
5/10/2017 13:54,FR 0001/02,Promenades,20,,,,,,,,,,,,,,,
5/8/2017 12:15,FR 0001/0002,Promenades,$15 ,,,,,,,,,,,,,,,
9/4/2017,HIST 0054,Aspects of Western Civilization,25,,,,,,,,,,,,,,,
9/4/2017,BIO 0013,Biological Science ,110,,,,,,,,,,,,,,,
9/4/2017,HIST 0076,Myths from Mesopotamia,10,,,,,,,,,,,,,,,
9/4/2017,MATH 0032,Calculus ,130,,,,,,,,,,,,,,,
5/8/2017 13:14,COMP 0011,Problem Solving with C++,$30 ,,,,,,,,,,,,,,,
5/8/2017 12:51,SPN 0021/22,The Ultimate Spanish Review and Practice,$10 ,,,,,,,,,,,,,,,
5/8/2017 14:11,SOC 0001,Mapping the Social Landscapes,25,,,,,,,,,,,,,,,
5/9/2017 13:31,FAH 0025/REL25,Early Medieval Architecture,$10 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 13:33,MATH 0032/34,Student's Solutions Manual Single Variable Early Transcendentals,$10 ,9/4/2017,,,,,,,,,,,,,,
5/4/2017 13:19,BIO 0130,Animal Behavior,$25 ,9/4/2017,,,,,,,,,,,,,,
5/9/2017 13:04,HIST 0040,Sources of Chinese Tradition,$15 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 11:15,CHEM,Goggles,$15 ,9/5/2017,,,,,,,,,,,,,,
5/1/2017 12:18,BIO 0061,The Youth Pill,$7.00 ,9/5/2017,,,,,,,,,,,,,,
5/1/2017 14:41,EC 0003,Financial Accounting by Warren/Reeve/Duchac,$50 ,9/5/2017,,,,,,,,,,,,,,
9/4/2017,AMER 0012,White By Law,15,9/11/2017,,,,,,,,,,,,,,
9/4/2017,AMER 0012,Social Construction of Race and Ethnicity in the United States,25,9/11/2017,,,,,,,,,,,,,,
5/10/2017 14:32,PS 0061,International Poliltics,$20 ,,,,,,,,,,,,,,,
5/11/2017 13:51,REL 0053 / HIST 40,"Sources of Chinese Tradition, Vol 1",10,,,,,,,,,,,,,,,
5/6/2017 13:32,SPN 0004,No paso nada,$3.00 ,,,,,,,,,,,,,,,
,ENG 0001/0002,A pocket style manual,$20 ,,,,,,,,,,,,,,,
5/11/2017 14:36,PHY 0001/PHY 0002,Physics,$100 ,,,,,,,,,,,,,,,
5/9/2017 14:19,ASTRO 0010,The Cambridge Guide to the Solar System,$10 ,,,,,,,,,,,,,,,
9/4/2017,SPN 0001,American Heritage Spanish Dictionary,3,,,,,,,,,,,,,,,
9/9/2017,PSY 0032,Conducting Research in Psychology,20,9/12/2017,,,,,,,,,,,,,,
9/13/2017,,iclicker,10,9/13/2017,,,,,,,,,,,,,,
9/6/2017,MATH 0032,CALCULUS: EARLY TRANSCENDENTALS (SINGLE VARIABLE),20,9/14/2017,,,,,,,,,,,,,,
5/8/2017 13:54,FAH 0001,Stokstad Art History,$100 ,?,,,,,,,,,,,,,,
,SPN 0022,La multitud errante,5,?,,,,,,,,,,,,,,
,MATH 0032,Calculus 1/2,50,?,,,,,,,,,,,,,,
5/11/2017 12:14,COMP 0015,Computer Science,$40 ,?,,,,,,,,,,,,,,
9/12/2017,ENG 0001,,,,,,,,,,,,,,,,,
