Time recorded,Class Name,Book name,price,Time Sold,,,,,,,,,,,,,,
5/12/2017 14:24,COMP 0015,"computer science, cs15",$50 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,,Lab Notebook,6,9/4/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0021,The Ultimate Spanish Review and Practice,20,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0022,Vistas y Voces Latinas,20,9/5/2017,,,,,,,,,,,,,,
9/4/2017,FR 0021,La Grammaire a L'oeuvre,15,9/5/2017,,,,,,,,,,,,,,
9/5/2017,BIO 0013,Biological science,80,9/5/2017,,,,,,,,,,,,,,
5/9/2017 13:16,BIO 0013,Biological Science,$150 ,9/5/2017,,,,,,,,,,,,,,
9/4/2017,,iClicker,10,9/6/2017,,,,,,,,,,,,,,
9/4/2017,SOC 0001,The Practical Skeptic,40,9/6/2017,,,,,,,,,,,,,,
9/4/2017,SOC 0001,Mapping the Social Landscape,20,9/6/2017,,,,,,,,,,,,,,
5/10/2017 15:48,SOC 0001,The Practical Skeptic: Core Concepts in Sociology,$50 ,9/6/2017,,,,,,,,,,,,,,
9/6/2017,PHIL 0001,Introduction to Philosophy,15,9/6/2017,,,,,,,,,,,,,,
9/4/2017,SOC 0001,Ain't No Makin' It,30,9/6/2017,,,,,,,,,,,,,,
9/4/2017,MISC 0000,Just Mercy,7,9/10/2017,,,,,,,,,,,,,,
9/5/2017,CH 0001,Mountains Beyond Mountains,10,9/10/2017,,,,,,,,,,,,,,
5/2/2017 16:09,SPN 0004,Atando Cabos,40,,,,,,,,,,,,,,,
5/7/2017 14:47,CD 0001,Child Development ,$70 ,,,,,,,,,,,,,,,
5/9/2017 12:58,EC 0005,Economics,$5 ,,,,,,,,,,,,,,,
9/4/2017,,iClicker,10,,,,,,,,,,,,,,,
5/9/2017 13:22,MATH 0019,Mathematics of Social Choice,$20 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 19:37,ENG 0001,Rules for Writers,$25 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:57,PHY 0011,Physics Scientists and Engineers: Giancoli,20,9/4/2017,,,,,,,,,,,,,,
5/8/2017 13:11,BIO 0013,Biological Science,$100 ,9/4/2017,,,,,,,,,,,,,,
5/12/2017 13:23,EC 0011,Microeconomics (Pindyck and Rubinfeld),$9 ,9/4/2017,,,,,,,,,,,,,,
5/4/2017 14:28,BIO 0013/0014,Biological Science,$30 ,9/4/2017,,,,,,,,,,,,,,
4/15/2017 20:12,CLS 0075,Classical Mythology in Context,52$,9/4/2017,,,,,,,,,,,,,,
5/9/2017 19:10,COMP 0011,Problem Solving with C++,$50 ,9/4/2017,,,,,,,,,,,,,,
4/7/2017 17:19,ENG 0001,"A Pocket Style Manual, Diana Hacker and Nancy Sommers",10,9/4/2017,,,,,,,,,,,,,,
5/2/2017 13:27,BIO 0013/0014,Biological Science by Freeman/Quillin/Allison,$90.00 ,9/4/2017,,,,,,,,,,,,,,
5/4/2017 13:19,BIO 0130,Animal Behavior,$25 ,9/4/2017,,,,,,,,,,,,,,
5/12/2017 12:06,SPN 0022,La Multitud Errante,10,9/4/2017,,,,,,,,,,,,,,
5/11/2017 13:03,EC 0005,"Economics - Hubbard, O'Brien",$20 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:38,CLS 0039,"Byzantium Church, Society, and Civilization seen through Contemporary eyes",$16.00 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:39,CLS 0039,A History Of Byzantium ,$20 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 13:27,ENG 0001,Rules for Writers,$40 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 14:42,EC 0011 ,Microeconomics,$30 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 12:46,Chem 0001,Chemistry the Central Science,$75 ,9/4/2017,,,,,,,,,,,,,,
4/7/2017 17:16,ENG 0001,The Bedford Reader,$20.00 ,9/4/2017,,,,,,,,,,,,,,
5/5/2017 19:11,COMP 0061/Math 0061,A Discrete Transition to Advanced Mathematics,$25 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 13:31,ES 0056,Probability and Statistics,$100 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 12:06,JPN 0003/0004,Genki II,20,9/4/2017,,,,,,,,,,,,,,
5/8/2017 14:06,CHNS 0021,All Things Considered,$20 ,9/4/2017,,,,,,,,,,,,,,
5/1/2017 12:08,EC 0013,Introductory Statistics ,15,9/4/2017,,,,,,,,,,,,,,
5/9/2017 12:36,CHNS 0021,All Things Considered,$30 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 12:03,EC 0006,Business Law,$30 ,9/4/2017,,,,,,,,,,,,,,
5/28/2017 19:27,EC 0060,International Economics,$15 ,9/4/2017,,,,,,,,,,,,,,
5/1/2017 16:10,FR 0001/2,Promenades,$20 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017 11:55,MATH 0051,Differential Equations: A First Course ,$30 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,Student Lab Notebook (50/100 unused pages),10,9/5/2017,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,Chemistry The Central Science,30,9/5/2017,,,,,,,,,,,,,,
9/5/2017,MATH 0034,Calculus Early Transcendentals,30,9/5/2017,,,,,,,,,,,,,,
5/6/2017 13:27,ENG 0064/AMS 173,Fear and Loathing in Las Vegas,$3 ,9/5/2017,,,,,,,,,,,,,,
5/5/2017 19:23,CHNS 0003/4,New Practical Chinese Reader Textbook,25,9/5/2017,,,,,,,,,,,,,,
5/8/2017 13:24,ENG 0092,RubyFruit Jungle,$8 ,9/5/2017,,,,,,,,,,,,,,
5/6/2017 13:28,ENG 0064,The Crying of Lot 49,$3 ,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0003,El Ultimo Sol,7,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0021,No paso nada,3,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0021,Oxford Spanish dictionary,7,9/5/2017,,,,,,,,,,,,,,
9/5/2017,PHY 0011,Physics for Scientists and Engineers with Modern Physics,80,9/5/2017,,,,,,,,,,,,,,
9/5/2017,COMP 0015,Pearson Custom Computer Science,25,9/5/2017,,,,,,,,,,,,,,
5/7/2017 12:50,CH 0001,Mountains Beyond Mountains,$5 ,9/9/2017,,,,,,,,,,,,,,
9/5/2017,MATH 0032,Calculus Early Transcendentals Student Solution's Manual,20,9/10/2017,,,,,,,,,,,,,,
5/9/2017 12:30,SPN 0122,Street Spanish: The Best of Spanish Idioms,2,venmo request paid in cash,,,,,,,,,,,,,,
5/4/2017 12:57,SPN 0021/22,The Ultimate Spanish Review and Practice,$15 ,venmo request paid in cash,,,,,,,,,,,,,,
5/11/2017 13:02,PJS 0001,Amnesty after Atrocity?,10,venmo request paid in cash,,,,,,,,,,,,,,
5/11/2017 13:01,PJS 0001,"Nonviolence, peace, and justice",5,venmo request paid in cash,,,,,,,,,,,,,,
5/5/2017 19:19,PS 0041,Plato's Symposium,$5 ,,,,,,,,,,,,,,,
5/5/2017 19:15,PS 0041,The Landmark Thucydides,$5 ,,,,,,,,,,,,,,,
5/5/2017 12:04,EOS 0002,Earth: Portrait of a Planet,$45 ,,,,,,,,,,,,,,,
,Misc 0000,iclicker,10,,,,,,,,,,,,,,,
5/11/2017 14:40,SPN 0003,El Último Sol,$20 ,,,,,,,,,,,,,,,
5/8/2017 14:42,PHIL 0001,Introduction to Philosophy,5,,,,,,,,,,,,,,,
5/8/2017 0:23,PSY 0001,Psychological Science,$50 ,,,,,,,,,,,,,,,
5/8/2017 0:23,PSY 0001,Psychological Science,$50 ,,,,,,,,,,,,,,,
5/10/2017 13:14,PS 0041,The Republic of Plato,$8 ,,,,,,,,,,,,,,,
5/8/2017 13:06,SPN 0001-4,Atandos Cabos w/access code,50,,,,,,,,,,,,,,,
5/6/2017 12:21,PHIL 0001,Discourse on Method and Meditations on First Philosophy,$5 ,,,,,,,,,,,,,,,
5/8/2017 14:09,SOC 0001,Mapping the Social Landscapes,25,,,,,,,,,,,,,,,
5/9/2017 12:26,PS 0061,International Politics,$20 ,,,,,,,,,,,,,,,
4/7/2017 18:01,SPN 0022,La Multitud Errante ,10,,,,,,,,,,,,,,,
5/6/2017 14:28,MATH 0051,Differential Equations: A First Course,$50 ,,,,,,,,,,,,,,,
5/10/2017 19:35,MATH 0052,Differential Equations,$50 ,,,,,,,,,,,,,,,
5/28/2017 19:32,ENG 0001,The Writer's Presence,$30 ,,,,,,,,,,,,,,,
5/1/2017 16:36,ENG 0001,Rules for Writers,$10 ,,,,,,,,,,,,,,,
5/2/2017 14:20,ENG 0001,Rulers for Writers,$35 ,,,,,,,,,,,,,,,
5/9/2017 15:35,HIST 0046,Indian Society and the making of the British Empire,$10 ,,,,,,,,,,,,,,,
5/9/2017 15:34,HIST 0046,"Nationalism, Democracy & Development",$10 ,,,,,,,,,,,,,,,
5/9/2017 15:33,HIST 0046,"Modern South Asia: History, Culture, Political Economy",$10 ,,,,,,,,,,,,,,,
4/15/2017 20:07,HIST 0053,A History of Europe in the Modern World Volume 1,$73 ,,,,,,,,,,,,,,,
5/11/2017 16:57,HIST 0053,Medieval Europe A Short History,30$,,,,,,,,,,,,,,,
5/10/2017 14:49,HIST 0053,"aspects of western civilization, v.1",$25 ,,,,,,,,,,,,,,,
5/6/2017 13:48,HIST 0053,Aspects of Western Civilization V1,$20 ,,,,,,,,,,,,,,,
5/10/2017 13:45,HIST 0054,Aspect of Western Civilization,$25 ,,,,,,,,,,,,,,,
5/9/2017 13:49,HIST 0058 / CLS 0039,The Byzantines,$10 ,,,,,,,,,,,,,,,
5/5/2017 22:51,HIST 0138,Mencius,$15 ,,,,,,,,,,,,,,,
5/9/2017 12:31,SPN 0021,Intrigas ,$15 ,,,,,,,,,,,,,,,
