Timestamp,class,textbookTitle,edition,price
5/5/2017 12:18,PHIL 0024,The Fundamentals of Ethics,2nd,$10.00 
9/6/2017,PSY 0013,Social Psychology ,9,$20.00 
9/6/2017,COMP 0040,C Interfaces and Implementations,,$20.00 
9/6/2017,SPN 0021,The Ultimate Spanish Review and Practice,Second Edition,$30.00 
9/6/2017,PS 0188,The Hillary Doctrine,,$20.00 
9/6/2017,UEP 0284,Introducing Just Sustainabilities,,$10.00 
9/6/2017,PS 0188,The Age of Rights,,$15.00 
9/6/2017,COMP 0011,Problem Solving with C++,8th,$30.00 
9/6/2017,COMP 0011,Problem Solving with C++,8th,$30.00 
9/7/2017,BIO 0013,Biological science,5th,$40.00 
9/7/2017,EC 0003,Financial Accounting,14e,$20.00 
9/7/2017,PS 0108,American Public Opinion,9,$40.00 
5/10/2017 13:20,SPN 0001,Hoy Dia Volume 1,,$20.00 
5/10/2017 13:20,SPN 0002,Hoy Dia Volume 2,,$20.00 
5/10/2017 13:21,SPN 0002,Hoy Dia Volume 2,,$20.00 
5/10/2017 13:10,SPN 0002,Lola Lago: Lejos de casa,,$8.00 
5/6/2017 12:18,SPN 0003,Atando Cabos,Fourth,$20.00 
5/8/2017 12:17,SPN 0003,Atando Cabos,Fourth Edition,$25.00 
5/8/2017 13:55,SPN 0121,Maldito Amor y otros cuentos,,$7.50 
5/9/2017 16:06,PS 0118,White By Race: The Legal Construction of Race,,$5.00 
5/10/2017 14:59,SPN 0030 (Kollakowski),Course packet,Spring 2017,$20.00 
5/10/2017 14:58,SPN 0033 (Millay),Course packet,Fall 2016,$10.00 
5/4/2017 12:57,SPN 0022,Pedro Juan Soto-Spiks,,$5.00 
9/4/2017,CD 0051,Intellectual Development,,$20.00 
9/9/2017,CLS 0075,Classical Mythology In Context,,$52.00 
9/9/2017,SPN 0022,La Multitud Errante,,$5.00 
9/9/2017,SPN 0022,Composition and Conversation,,$10.00 
9/9/2017,SPN 0022,Vistas y Voces Latinas,,$10.00 
9/9/2017,PSY 0009,Brain and Behavior,,$50.00 
9/9/2017,PHIL 0001,Introduction to Philosophy,6,$10.00 
9/9/2017,AAST 0094,"Symbols, Selves, and Social Reality",4,$30.00 
9/9/2017,PSY 0064,Language Files,12,$50.00 
9/9/2017,RUS 0003,"Golosa  Workbook, Book 2",Fifth Edition,$100.00 
9/9/2017,RUS 0003,Golosa Book 2,Fifth Edition,$120.00 
5/5/2017 19:21,EOS 0005,Oceanography: An Introduction to Marine Science,Ninth Edition,$15.00 
9/9/2017,PSY 0032,APA Publication Manual,6th,$12.00 
9/9/2017,PSY 0064,Patterns in the Mind,,$5.00 
9/9/2017,PSY 0064,Contemporary Linguistics,6th,$15.00 
9/9/2017,FR 0021,Controverses,2nd,$10.00 
9/9/2017,PSY 0017,Psychology and Work today,10th,$20.00 
9/10/2017,HIST 0070,A History of the Modern Middle East,6th,$30.00 
9/10/2017,EC 0005,Economics,5th,$50.00 
9/10/2017,HIST 0002,Modern South Asia,3,$20.00 
9/10/2017,HIST 0002,Modern South Asia,3,$20.00 
9/11/2017,PHY 0001,Study Guide & Solutions manual,4th,$30.00 
9/11/2017,CHEM 0001,Chemistry-the central science,13th Edition ,$65.00 
9/11/2017,EC 0005,Economics Hubbard O'Brien,6th,$60.00 
9/12/2017,ES 0101,Numerical Recipes,3,$20.00 
9/12/2017,COMP 0015,Data Structures and Other Objects Using C++,4,$20.00 
9/12/2017,COMP 0061,Mathematics: A Discrete Introduction,Tufts Custom,$15.00 
9/12/2017,COMP 0170,Introduction to the Theory of Computation,3,$40.00 
9/12/2017,EOS 0002,Manual for Environmental Geology,Spring 2015,$10.00 
9/12/2017,EE 0194,Elements of Information Theory ,2,$25.00 
9/12/2017,SPN 0003,Atando Cabos,4th,$20.00 
9/12/2017,ENG 0001,the bedford reader,12th,$40.00 
