Timestamp,class,textbookTitle,edition,price
5/5/2017 13:21,EC 0013 ,Applied Statistics in Business and Economics ,3,$25.00 
5/8/2017 12:22,EC 0018,"Macroeconomics:Institutions, Instability, and the Financial System",n/a,$60.00 
5/11/2017 13:00,EC 0050,Fundamentals of Financial Management,8th,$40.00 
5/11/2017 14:48,EC 0063,The Economics of European Integration,5th,$20.00 
5/1/2017 12:05,EC 0087,The British Industrial Revolution in Global Perspective,Robert C. Allen,$12.00 
5/10/2017 14:33,EC 0003,"The Economics of Money, Banking, and Financial Markets",10,$30.00 
5/10/2017 14:16,EC 0003,Financial Accounting,13th Edition,$30.00 
4/13/2017 18:02,PS 0004,"Anarchy, State, and Utopia",,$10.00 
5/9/2017 15:36,PS 0011,Racial Diversity and Social Capital,,$10.00 
5/10/2017 13:15,PS 0011,Racial Diversity and Social Capital,,$4.00 
5/9/2017 12:27,PS 0015,Emerald Cities: Urban Sustainability and Economic Developmnent,,$20.00 
5/8/2017 12:08,PS 0042,The Theory of Moral Sentiments (Adam Smith),,$15.00 
5/9/2017 12:14,PS 0061,Current Debates in International Politics,,$20.00 
5/8/2017 14:48,PS 0061,Global Capitalism,,$20.00 
5/10/2017 13:39,PS 0061,global capitalism,,$10.00 
5/9/2017 23:35,PS 0061,Global Capitalism,,$40.00 
5/9/2017 12:12,PS 0061,International Politics,Twelfth,$30.00 
5/10/2017 13:38,PS 0061,International Politics,12,$15.00 
5/9/2017 23:39,PS 0061,International Politics,12,$40.00 
5/2/2017 15:40,PS 0105,Constitutional Law (Dorf and Morrison),,$10.00 
5/2/2017 15:41,PS 0105,From Jim Crow to Civil Rights,,$10.00 
5/8/2017 13:58,PS 0108,Political Science Research Methods,6th edition,$20.00 
5/10/2017 14:29,PS 0118,Impossible Subjects,,$15.00 
5/10/2017 14:33,PS 0118,Let Me Be A Refugee,,$25.00 
5/9/2017 16:07,PS 0118,Let Me Be A Refugee,,$5.00 
5/10/2017 14:34,PS 0118,Policing Immigrants,,$20.00 
5/10/2017 14:31,PS 0118,White By Law,,$16.00 
5/8/2017 13:25,PS 0119,Behind The Mule,,$10.00 
5/8/2017 13:23,PS 0119,Bringing Race Back In,,$10.00 
5/9/2017 16:09,PS 0118,Policing Immigrants,,$5.00 
5/3/2017 14:43,PS 0170,Leashing the Dogs of War,NA,$20.00 
5/2/2017 16:22,PS 170,Leashing the Dogs of War,1,$20.00 
5/10/2017 13:38,SOC 0050,Globazilation - A Basic Text,2,$20.00 
5/10/2017 14:38,ENG 0110,english sixteenth century verse,,$5.00 
5/10/2017 14:36,ENG 0063,The House of Mirth,,$4.00 
5/12/2017 13:19,ENG 0001,Citizen: An American Lyric,,$5.00 
5/10/2017 20:15,ENG 0001,Everyone's an Author,2nd,$25.00 
5/10/2017 14:35,ENG 0063,The Great Gatsby,,$5.00 
5/9/2017 16:04,ENG 0005,Where the Stories Come Fron,,$15.00 
5/9/2017 23:33,ENG 0002,Fun Home,1,$20.00 
5/9/2017 13:45,ENG 0022,The Longman Anthology of British Literature 2C,4th,$6.66 
5/9/2017 13:46,ENG 0022,The Longman Anthology of British Literature 2A,5th,$6.66 
5/9/2017 13:44,ENG 0022,The Longman Anthology of British Literature 2B,4th,$6.66 
5/6/2017 13:28,ENG 0064,No-No Boy,,$5.00 
5/9/2017 12:29,ENG 0002: Conformity and Rebellion,The Awakening (Kate Chopin),,$5.00 
5/6/2017 13:29,ENG 0064,Why Are We in Vietnam?,,$4.00 
5/9/2017 12:47,ENG 0002 Family Ties,Dress Your Family in Corduroy and Denim,,$8.00 
5/6/2017 13:28,ENG 0005,Where the stories come from: beginning to write fiction,,$12.00 
5/10/2017 13:11,ENG 0002,An Anthropologist on Mars,,$5.00 
5/2/2017 14:19,ENG 0004,The House on Mango Street,,$4.00 
5/2/2017 14:22,ENG 0004,The Secret Life of Bees,,$8.00 
5/2/2017 14:27,ENG 0004,The International Story,,$25.00 
5/2/2017 14:22,ENG 0004,The International Story,,$25.00 
5/8/2017 12:37,ENG 0002,The Awakening,,$5.00 
5/8/2017 12:37,ENG 0002,Invisible Man,,$5.00 
5/8/2017 13:20,ENG 0092,Chelsea Girls,,$8.00 
5/1/2017 12:04,ENG 0001,Civilization and its Discontents,Sigmund Freud,$5.00 
5/6/2017 13:23,ENG 0064,Play It As It Lays,,$5.00 
5/6/2017 13:23,ENG 0064,Flight to Canada,,$4.00 
5/6/2017 13:25,ENG 0064,Speedboat,,$4.00 
5/6/2017 13:25,ENG 0064,The Subterraneans,,$3.00 
5/9/2017 14:13,HIST 0012,The Scientific Revolution in Global Perspective,,$5.00 
5/9/2017 14:13,HIST 0012,Personal Narrative of a journey to the equinoctial regions of the new continent,,$5.00 
5/9/2017 14:12,HIST 0012,New Atlantis and the Great Instauration,,$5.00 
5/6/2017 22:32,HIST 0023,New England Bound,,$9.00 
5/8/2017 14:47,HIST 0029,From Colony to Superpower,,$20.00 
5/8/2017 13:57,HIST 0032-5,Sisters in Law,,$5.00 
5/8/2017 13:56,HIST 0032-5,"The Yellow Wall-Paper, Herland, and Selected WRitings",,$5.00 
5/9/2017 13:02,HIST 0040,The Open Empire A History of China to 1800,2nd edition,$50.00 
5/10/2017 19:40,HIST 0042,Sources of Japanese Tradition,1,$15.00 
5/10/2017 19:39,HIST 0042,Premodern Japan,2,$15.00 
5/10/2017 19:38,HIST 0042,Japanese Culture,4,$15.00 
5/7/2017 13:05,HIST 0043,The Rape of Nanking,1st,$10.00 
5/7/2017 13:05,HIST 0043,Sources of Japanese Tradition: Volume II,,$5.00 
5/7/2017 13:04,HIST 0043,Modern Japan A Historical Survey,5th,$15.00 
5/7/2017 13:02,HIST 0043,The River Ki,1st,$5.00 
5/7/2017 13:03,HIST 0043,War without Mercy,7th,$10.00 
5/10/2017 14:50,HIST 0053,aspects of western civilization v.2,7,$25.00 
5/10/2017 14:51,HIST 0053,a history of europe in the modern world v.1,11,$50.00 
5/10/2017 15:11,HIST 0053,A History if Europe in the Modern World,11,$50.00 
5/10/2017 13:44,HIST 0054,A history of europe in the modern world volume 2,11,$45.00 
5/10/2017 13:40,HIST 0054,A history of europe in the modern world Volume 2,11th,$45.00 
5/7/2017 13:07,HIST 0070/71,North Africa A History from Antiquity to the Present,1st,$20.00 
5/8/2017 12:53,HIST 0054/0053,A History of Europe in the Modern World Volume 2,11th,$40.00 
5/11/2017 13:52,HIST 0062,A History of Russia,8th,$15.00 
5/7/2017 13:07,HIST 0070/71,A History of the Modern Middle East,4th,$20.00 
5/8/2017 13:56,HIST 0096,Marianne in Chains,,$5.00 
5/8/2017 13:59,HIST 0116,Utopia Unarmed: The Latin American Left After the Cold War,,$7.50 
5/8/2017 14:01,HIST 0116,Ernesto Che Guevara: The Bolivian Diaries,,$6.00 
5/8/2017 13:59,HIST 0116,Bolivia: The Evolution of a Multi-Ethnic Society,2,$5.00 
5/5/2017 22:48,HIST 0138,Confucius Analects,1st,$15.00 
5/1/2017 15:55,HIST 0138 Confucianism,Confucius Analects,,$20.00 
5/1/2017 15:54,HIST 0138 Confucianism,Mencius,,$20.00 
5/14/2017 19:01,HIST 0139,Women and Confucian Cultures,,$5.00 
5/8/2017 14:04,CHNS 0001,NPCR Book 1,2,$10.00 
5/8/2017 12:21,JPN 0061,Hojoki Visions of a Torn World,,$5.00 
5/5/2017 13:20,RUS 0080,Understanding Movies,13,$20.00 
5/1/2017 12:17,BIO 0061,The Youth Pill,,$7.00 
5/3/2017 14:17,BIO 0013/14,A Short Guide to Writing About Biology,8th,$10.00 
5/1/2017 12:21,BIO 0013,A Short Guide to Writing About Biology,8,$12.00 
5/1/2017 12:19,BIO 0164,The Marine Biology Coloring Book,2,$15.00 
5/1/2017 12:19,BIO 0164,Biology of the Invertebrates,7,$25.00 
5/1/2017 14:43,BIO 0013,Biological Science by Freeman/Quillin/Allison,5th Edition,$80.00 
5/6/2017 13:41,PSY 0009,Brain and Behavior,,$55.00 
5/9/2017 14:03,PSY 0009,Brain and Behavior,1st,$90.00 
5/9/2017 14:07,PSY 0009,Brain and Behavior,1st,$115.00 
5/10/2017 13:42,PSY 0009,Brain and Behavior,,$95.00 
5/9/2017 14:04,PSY 0009,The Mind's Eye,,$10.00 
5/7/2017 13:29,PSY 0009,the mind's eye,,$10.00 
5/2/2017 14:25,PSY 0011,Developmental Psychology: The Growth of Mind and Behavior,1st,$115.00 
5/2/2017 14:26,PSY 0013,Social Psychology,9th Edition,$135.00 
5/9/2017 13:10,PSY 0017,Psychology and Work Today,10th,$45.00 
5/9/2017 13:21,PSY 0017,Psychology and Work Today,10,$15.00 
5/7/2017 12:53,PSY 0022,Understanding Emotions,3rd,$20.00 
5/6/2017 11:16,ES 0002,Introduction to Computing for Engineers,,$60.00 
5/5/2017 23:17,ES 0002,Introduction to Computing for Engineers,,$70.00 
5/5/2017 23:18,ES 0002,Introduction to Computing for Engineers,ES-2,$70.00 
5/11/2017 11:20,ES 0002,Introduction to Computing for Engineers,Custom Tufts Edition,$50.00 
5/11/2017 11:27,ES 0002,Introduction to Computing for Engineers,Custom Tufts Edition,$70.00 
5/11/2017 12:16,ES 0002,Introduction to Computing for Engineers,,$50.00 
5/12/2017 13:26,ES 0002,Introduction to Computing for Engineers,Tufts Customized,$60.00 
5/10/2017 12:57,ES 0002,Applied Numerical Methods with MATLAB,3,$20.00 
5/5/2017 12:21,ES 0027,Basic Environmental Health,,$40.00 
5/11/2017 12:13,EN 0001,Things that make us smart,,$10.00 
5/12/2017 13:20,EN 0001,Things that make us smart,,$7.00 
5/11/2017 12:37,ChBE,Elementary Principles of Chemical Processes,,$25.00 
5/10/2017 14:57,CHBE 0011,Engineering and Chemical Thermodynamics,2nd,$40.00 
5/11/2017 12:33,ChBE 0011,Engineering and Chemical Thermodynamics,,$20.00 
5/5/2017 12:05,UEP 0094,The Environmental Case,4th,$45.00 
5/11/2017 13:32,NU 0101,Understanding Nutrition ,13,$15.00 
5/9/2017 14:50,UEP 0278,Sustainable Communities and the Challenges of Environmental Justice ,,$5.00 
5/9/2017 12:55,JS 0150,The Lord's Song in a Strange Land,,$35.00 
5/11/2017 14:40,PE 0131,Emergency Care and Transportation of the Sick and Injured,11th Edition ,$101.00 
5/9/2017 12:38,ILVS 0055,Always Coca-Cola,,$10.00 
5/9/2017 14:56,JS 0136,Course Reader,,$15.00 
5/9/2017 13:03,WGSS 0080,The Book of Salt,,$10.00 
5/8/2017 13:21,AMER 0015/ REL 0042,God's New Isreal Religious Interpretations of American Destiny,,$25.00 
5/9/2017 12:37,ILVS 0055,The Modern Middle East,4,$25.00 
5/9/2017 14:49,AMER 0012,The Social Construction of Whiteness,,$5.00 
5/9/2017 13:33,GRE,"Crash Course for the GRE, Princeton Review",5,$3.00 
5/8/2017 12:40,REL 0058,Soto Zen in Medieval Japan,,$20.00 
5/9/2017 13:30,AAST 0094,Homeland Insecurity,,$15.00 
5/9/2017 12:37,ILVS 0055,In an Antique Land,,$15.00 
5/11/2017 12:48,ELS 0194,The Artist's Way At Work,,$9.00 
5/11/2017 12:56,ELS 0103,Pearson Custom Business Resources,,$50.00 
5/8/2017 13:46,PSY 0196,Boundary Issues and Dual Relationships in the Human Services,,$15.00 
5/9/2017 13:24,PSY 0105,Freud and Beyond,,$5.00 
5/8/2017 13:42,PSY 0038,Research Design in Clinical Psychology,4,$40.00 
5/8/2017 13:42,PSY 0038,Research Design in Clinical Psychology,4,$40.00 
5/10/2017 15:31,PSY 0031,Understanding Statistics in the Behavioral Sciences,10,$30.00 
5/9/2017 12:50,PSY 0031,Understanding Statistics ,10th,$165.00 
5/6/2017 13:47,PSY 0028,The Cognition Workbook,Fifth,$5.00 
5/6/2017 13:45,PSY 0028,Cognition: Exploring the Science of the Mind,"Fifth, international edition",$25.00 
5/10/2017 14:51,COMP 0015,Pearson Custom Computer Science,,$5.00 
5/10/2017 12:36,COMP 0011,Problem Solving with C++ (with access code and answers),9th,$70.00 
5/2/2017 16:17,COMP 0011,Problem Solvingwith C++,8,$30.00 
5/10/2017 14:08,SPN 0022 X-C,Spiks,,$5.00 
5/8/2017 12:06,SPN 0001,Hoy Día Volume 1,n/a,$20.00 
